PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  04/1974;32,457;34,076;37,398;39,100;39,961;34,349;32,993;31,393;30,865;29,820;29,302;28,788;28,277;30,341;30,080;27,769;26,513;26,017;25,278;24,790;23,824;24,064;23,346;23,109;22,872;24,305;25,770;24,547;23,346;22,872;---;22,872;28,587;39,961
  05/1974;23,346;23,824;22,872;21,701;21,009;20,780;20,552;20,325;20,099;19,874;19,874;19,649;19,649;20,552;21,009;20,325;19,874;19,649;19,426;19,203;19,426;19,649;18,981;18,761;18,761;18,761;18,322;19,426;20,552;19,203;18,761;18,322;20,135;23,824
  06/1974;18,104;17,887;18,104;17,456;17,887;18,104;18,104;18,104;18,761;17,887;17,887;27,264;31,393;24,790;21,933;20,552;20,099;19,649;19,203;18,322;18,104;19,874;20,325;19,203;22,401;33,533;41,411;38,815;30,341;26,763;---;17,456;22,409;41,411
  07/1974;23,824;21,701;20,780;19,649;19,203;18,541;17,887;17,671;17,671;17,456;17,028;16,816;15,976;16,816;15,768;16,604;16,184;15,356;15,561;14,543;15,356;14,745;14,745;14,543;14,745;14,543;14,947;14,745;14,543;14,543;14,142;14,142;16,666;23,824
  08/1974;13,746;13,746;13,549;13,353;13,353;13,353;12,965;12,965;12,772;12,580;12,965;13,158;13,158;12,965;12,772;12,965;13,353;12,965;12,772;12,390;12,390;12,011;12,011;11,824;11,637;11,637;11,268;11,268;11,452;11,637;10,721;10,721;12,571;13,746
  09/1974;10,721;11,084;11,452;12,011;12,011;11,084;10,362;11,084;10,721;11,824;10,721;10,362;10,721;10,007;10,902;10,362;9,831;10,541;10,007;10,902;11,824;9,483;10,007;10,541;10,007;10,007;8,801;8,801;12,580;13,746;---;8,801;10,750;13,746
  10/1974;12,390;11,824;12,965;13,158;14,947;13,746;12,965;12,390;11,824;11,268;10,721;10,362;9,657;10,007;8,633;8,633;8,633;8,633;8,801;10,007;11,637;11,084;10,541;10,362;11,084;11,824;11,084;10,541;16,394;26,264;26,763;8,633;12,230;26,763
  11/1974;18,761;13,746;12,580;12,200;10,362;10,902;12,390;12,011;11,452;10,184;10,007;9,657;10,541;11,637;12,965;12,580;10,541;9,483;8,970;8,801;11,637;19,426;35,171;26,264;19,649;17,456;16,394;16,184;16,816;19,203;---;8,801;14,266;35,171
  12/1974;19,874;23,346;20,552;18,322;18,322;20,780;22,401;20,552;17,028;15,768;16,394;15,356;14,543;19,203;24,790;21,933;22,872;35,724;48,620;46,171;40,829;36,837;35,724;63,544;82,799;102,231;90,379;61,518;52,376;50,486;46,475;14,543;36,314;102,231
  01/1975;48,311;50,486;48,620;43,471;37,680;32,725;33,533;30,865;28,022;26,513;28,277;32,993;39,100;51,428;59,515;63,544;54,291;40,250;34,897;30,341;27,769;27,264;25,770;26,017;25,523;24,064;21,701;21,701;21,469;23,824;23,585;21,469;34,953;63,544
