data,pme,etp,qmon,qjus
1988-01-15,8.7,4.79,,
1988-01-16,40.9,4.69,,
1988-01-17,10.1,4.68,,
1988-01-18,0.5,4.66,,
1988-01-19,0.1,4.63,,
1988-01-20,0.1,4.63,,
1988-01-21,0.0,4.73,,
1988-01-22,0.3,4.66,,
1988-01-23,3.4,4.65,,
1988-01-24,8.1,4.69,,
1988-01-25,0.4,4.56,,
1988-01-26,6.0,4.66,,
1988-01-27,2.3,4.66,,
1988-01-28,2.8,4.6,,
1988-01-29,0.6,4.58,,
1988-01-30,5.0,4.53,,
1988-01-31,1.4,4.59,,
1988-02-01,28.8,4.69,,
1988-02-02,11.7,4.64,,
1988-02-03,1.4,4.69,,
1988-02-04,0.2,4.62,,
1988-02-05,0.6,4.62,,
1988-02-06,0.8,4.65,,
1988-02-07,1.3,4.66,,
1988-02-08,36.1,4.77,,
1988-02-09,1.9,4.57,,
1988-02-10,1.0,4.41,,
1988-02-11,3.9,4.39,,
1988-02-12,2.0,4.35,,
1988-02-13,0.0,4.38,,
1988-02-14,0.1,4.3,,
1988-02-15,0.9,4.37,,
1988-02-16,1.1,4.45,,
1988-02-17,0.8,4.42,,
1988-02-18,2.0,4.44,,
1988-02-19,0.1,4.42,,
1988-02-20,0.6,4.45,,
1988-02-21,2.2,4.47,,
1988-02-22,1.9,4.47,,
1988-02-23,0.0,4.48,,
1988-02-24,0.1,4.36,,
1988-02-25,2.8,4.22,,
1988-02-26,6.8,4.2,,
1988-02-27,20.2,4.21,,
1988-02-28,18.5,4.18,,
1988-02-29,1.1,4.28,,
1988-03-01,5.3,4.28,,
1988-03-02,11.9,4.24,,
1988-03-03,11.6,4.2,,
1988-03-04,8.7,4.21,,
1988-03-05,2.0,4.21,,
1988-03-06,1.6,4.17,,
1988-03-07,1.1,4.23,,
1988-03-08,0.0,4.16,,
1988-03-09,0.1,4.24,,
1988-03-10,0.0,4.19,,
1988-03-11,1.0,4.2,,
1988-03-12,0.1,4.15,,
1988-03-13,0.0,4.13,,
1988-03-14,0.0,4.14,,
1988-03-15,0.1,4.14,,
2010-01-31,13.5,4.59,,
2010-02-02,0.0,4.64,,
2010-02-03,0.0,4.69,,
2010-03-05,0.8,4.21,,
2010-03-06,4.6,4.21,,
2010-03-07,0.0,4.17,,
2010-03-08,1.3,4.23,,
2010-03-09,0.8,4.16,,
2010-03-10,0.1,4.24,,
2010-03-11,0.0,4.19,,
2010-03-12,0.0,4.2,,
2010-03-13,0.0,4.15,,
2010-03-14,3.2,4.13,,
2010-03-18,0.0,4.02,,
2010-03-19,0.2,3.89,,
2010-03-20,0.0,3.72,,
2010-03-21,5.8,3.8,,
2010-03-22,0.8,3.85,,
2010-04-13,0.0,3.44,,
2010-04-14,0.0,3.41,,
2010-04-15,0.0,3.16,,
2010-04-16,0.0,3.21,,
2010-04-17,0.0,3.29,,
2010-04-18,0.0,3.39,,
2010-04-19,0.0,3.35,,
2010-04-20,0.0,3.26,,
2010-04-21,0.4,3.18,,
2010-04-22,0.1,3.12,,
2010-04-23,11.2,3.17,,
2010-04-28,0.1,2.91,,
2010-04-29,4.4,2.98,,
2010-04-30,0.8,2.87,,
2010-05-01,0.0,2.8,,
2010-05-02,0.0,2.83,,
2010-05-03,0.0,2.83,,
2010-05-04,0.0,2.82,,
2010-05-05,0.3,2.73,,
2010-05-06,0.3,2.91,,
2010-05-07,0.1,2.59,,
2010-05-11,0.1,2.53,,
2010-05-12,4.4,2.72,,
2010-05-13,0.1,2.46,,
2010-05-14,0.0,2.41,,
2010-05-15,0.0,2.45,,
2010-05-16,0.0,2.34,,
2010-05-17,0.0,2.3,,
2010-05-18,8.5,2.33,,
2010-05-19,10.4,2.49,,
2010-05-20,0.2,2.37,,
2010-05-21,0.0,2.43,,
2010-05-22,0.0,2.44,,
2010-05-23,0.1,2.11,,
2010-05-24,0.0,2.04,,
2016-01-12,35.8,4.59,,
2016-01-13,18.1,4.62,,
